text,label
You were like a lost kid looking for home You found what you wanted right in my arms  If you walk out on me Just leave your memory Just take my sympathy and go I love you so you're never alone  If you find another one turns your head And you can't understand why it hurts so bad  If you walk out on me Just leave your memory Just take my sympathy and go  If you walk out on me Just leave your memory Just take my sympathy and go I love you so you're never alone  Girl you're never alone Never alone,country
"Darling I've been standing here just watching you all night And I think I've even caught you watching me a couple times If I don't ask I'll never know This may sound dumb, but here we go Do you believe in love at first sight  Me neither I'm glad that we agree Believe me That's a big relief Well, this place is awful crowded And this music is so loud Would you like to go and grab a bite to eat Me neither  It's nice to finally meet a girl who doesn't move too fast I was only checking, that's the reason that I asked Relationships need time to grow You and I should take this slow And darling tell me, would you like to dance  Me neither I was just being polite Thank goodness My feet are much too tired I'm sure you're tired too I can see an empty booth Would you like to maybe sit and talk a while Me neither We'd never get along I'm thinking there's no chemistry at all This has been a waste of time And I'm running outta lines Don't you think it's time for me to end this song Me neither",country
"One, two, three, like a bird, I sing 'Cause you've given me the most beautiful set of wings And I'm so glad you're here today 'Cause tomorrow I might have to go and fly away (Hey!) When I'm down to my last dollar I walk right through my shoes Just a small reminder Of the hell that I've gone through But look at me still smiling 'Cause I'm wondering what I'll do Since I ain't got nothing I got nothing to lose Everybody say: ha ha ha, ha ha ha My friends are always giving me Watches, hats, and wine That's how I know this is serious That's how I know it's time I don't have to worry about things that I don't have 'Cause if I ain't got nothing I got nothing to hold me back And one, two, three, like a bird, I sing 'Cause you've given me the most beautiful set of wings And I'm so glad you're here today 'Cause tomorrow I might have to go and fly away Fly away, fly away Fly away, fly away There's nothing that's worth keeping me From places I should go From Happy-ville to Loving-land I'm gonna tour from coast to coast I'm leaving everything behind There's not much that I need 'Cause If I ain't got nothing I'm foot-loose and fancy-free And one, two, three, like a bird, I sing 'Cause you've given me the most beautiful set of wings And I'm so glad you're here today 'Cause tomorrow I might have to go and fly away Fly away, fly away Fly away, fly away Look at me so free Nothing's holding me down (down) Look at me so free Can't keep my feet on the ground One, two, three, like a bird, I sing 'Cause you've given me the most beautiful set of wings And I'm so glad you're here today 'Cause tomorrow I might have to go and One, two, three, like a bird, I sing 'Cause you've given me the most beautiful set of wings And I'm so glad you're here today 'Cause tomorrow I might have to go and fly away Fly away, fly away Fly away, fly away Fly away! One, two, three, like a bird, I sing 'Cause you giving me the most beautiful set of wings One, two, three, like a bird, I sing 'Cause you giving me the most beautiful set of wings One, two, three, like a bird, I sing 'Cause you giving me the most beautiful set of wings One, two, three, like a bird, I sing 'Cause you giving me the most beautiful set of wings",country
I lie here tonight in the darkness I've never felt so alone Tomorrow I'll wake up still lonesome 'Cause things haven't changed since you've gone You walked out with angry words spoken You're leavin' cut right to the bone I'll pick up the pieces you have broken Find the strength to go on  I still remember How my love once held her How long do old memories last Why can't I forget it Why can't I admit it There ain't no future in the past,country
Your cheatin' heart Will make you weep You'll cry and cry And try to sleep  But sleep won't come The whole night through Your cheatin' heart Will tell on you  When tears come down Like falling rain You'll toss around And call my name  You'll walk the floor The way I do Your cheatin' heart Will tell on you  Your cheatin' heart Will pine some day And crave the love You threw away  The time will come When you'll be blue Your cheatin' heart Will tell on you  When tears come down Like falling rain You'll toss around And call my name  You'll walk the floor The way I do Your cheatin' heart Will tell on you,country
No other lover ever really cared When I've reached out for you you've always been there Now I'm so far away and baby I'm scared I never knew lonely til you You are my rock and the strength I need To keep me sane in this life that I lead Now I'm not with you and my broken heart bleeds I never knew lonely til you  I never knew lonely could be so blue I never knew lonely could tear you in two I never loved someone like I love you I never knew lonely til you  I can't make up for the times I've been gone But I'll prove I love you in the words of this song Back in your arms girl it's where I belong I never knew lonely til you,country
"Georgia, Georgia The whole day through An' just an old sweet song Keeps Georgia on my mind Georgia, Georgia A song of you Comes as sweet and clear As moonlight through the pines Other arms reach out to me Other eyes smile tenderly Still in peaceful dreams I see The road leads back to you  Georgia, Georgia No peace I find Just an old sweet song Keeps Georgia on my mind Georgia, Georgia No peace I find Just an old sweet song Keeps Georgia on my mind On my mind On my mind On my mind On my mind On my mind On my mind On my mind On my mind",country
Look at us After all these years together Look at us After all that we've been through Look at us Still leaning on each other  If you want to see How true love should be Then just look at us Look at you Still pretty as a picture Look at me Still crazy over you Look at us Still believin' in forever  Look at us After all these years together Look at us After all that we've been through Look at us Still leaning on each other  In a hundred years from now I know without a doubt They'll all look back and wonder how We made it all work out Chances are We'll go down in history When they want to see How true love should be They'll just look at us,country
"If I never think about her, I'll never miss her at all Never wonder what she's doin, never give her a call Never see her again and I'll be free as a bird But the trouble with never is never, never works If I never bring her flowers, I'll never see her smile If I never try to kiss her, she'll never drive me wild And I'll never feel the need to say those three little words But the trouble with never is never, never works I know how to stay carefree, let no one get a hold on me But I can't keep my hands off her There's something different 'bout this girl If I never let me love her, I'll never settle down And I'll never put roots in this God forsaken town And I'll never say I do or step foot in a church But the trouble with never is never, never works I know how to stay carefree, let no one put a hold on me But I can't keep my hands off her There's something different 'bout this girl If I never think about her, I'll never miss her at all Never wonder what she's doin, never give her a call Never see her again, and I'll be free as a bird Oh, but the trouble with never is never, never works Yeah, the trouble with never is never, never works At least not with her",country
"I was fifteen when my daddy died Mama worked two jobs just to get by Seemed like a blessing when Harley came around So she took his name but I had my doubts Didn't take long for his drinking ways To start showing up on mama's face One violent night hiding under my bed I swore that he wouldn't see another sunset Next day I followed him down to the riverbank I knew one of us wouldn't walk away  I might have had a plan but he didn't know it I might have been scared but I didn't show it That's all between the river and me With the current and the rocks, it could have been risky He might have been sober but I brought the whiskey That's all between the river and me  I walked up to him and I said his name Just so he could see the look on my face We stood eye to eye and toe to toe When I told him that he wasn't gonna come back home He raised his fist to me but I didn't flinch I said 'I ain't your son you son of a bitch'  I might have had a knife in my back pocket I might have pulled it out before he saw it That's all between the river and me I might have had a gun but I didn't fire it He might have tried to yell but I kept him quiet That's all between the river and me That's all between the river and me   Sheriff came knocking on our front door They said they found his body by the reservoir Bottle in his shirt and liquor in his blood He must have fallen in the river and he never came up  There might have been blood but they never saw it Just a little mud on the living room carpet That's all between the river and me Well, after what he done, there ain't no wonder I can't remember how long I held him under That's all between the river and me  That's all between the river and me That's all between the river and me That's all That's all",country
